# chesserazade magic bitboards
# format: section square magic(hex) mask(hex) shift(dec)
# generated by: chesserazade magics-gen

[rook]
a1 0x0280132180004001 0x000101010101017e 52
b1 0x0040400010002000 0x000202020202027c 53
c1 0x0180200110008018 0x000404040404047a 53
d1 0x6200060008204010 0x0008080808080876 53
e1 0x0480240002806800 0x001010101010106e 53
f1 0x4900240048020100 0x002020202020205e 53
g1 0x0c80020060800100 0x004040404040403e 53
h1 0x0200054024020881 0x008080808080807e 52
a2 0x0804800080284000 0x0001010101017e00 53
b2 0x0808804000200880 0x0002020202027c00 54
c2 0x0200808020001000 0x0004040404047a00 54
d2 0x4000800800801000 0x0008080808087600 54
e2 0x1008800400080080 0x0010101010106e00 54
f2 0x0000800200040080 0x0020202020205e00 54
g2 0x401400280c130650 0x0040404040403e00 54
h2 0x0402000040810204 0x0080808080807e00 53
a3 0x2080208000904000 0x00010101017e0100 53
b3 0x141000c040002003 0x00020202027c0200 54
c3 0x0020004040100800 0x00040404047a0400 54
d3 0x1000808008001000 0x0008080808760800 54
e3 0x0410808004000801 0x00101010106e1000 54
f3 0x4554008002008004 0x00202020205e2000 54
g3 0x0000040010024108 0x00404040403e4000 54
h3 0x1400620000440081 0x00808080807e8000 53
a4 0x0000a09280024008 0x000101017e010100 53
b4 0x0020004040003003 0x000202027c020200 54
c4 0x0000100080200081 0x000404047a040400 54
d4 0x0100081200420020 0x0008080876080800 54
e4 0x0804008180080024 0x001010106e101000 54
f4 0xc802000404002010 0x002020205e202000 54
g4 0x0201004100820004 0x004040403e404000 54
h4 0x01000c0200004195 0x008080807e808000 53
a5 0x4000401020800080 0x0001017e01010100 53
b5 0x4006401004402000 0x0002027c02020200 54
c5 0x0110006800600401 0x0004047a04040400 54
d5 0x2121001863001000 0x0008087608080800 54
e5 0x2208040801001100 0x0010106e10101000 54
f5 0x2004800200800400 0x0020205e20202000 54
g5 0x1210282264001001 0x0040403e40404000 54
h5 0x0022308c02000041 0x0080807e80808000 53
a6 0x0880004020004000 0x00017e0101010100 53
b6 0x1440408603060020 0x00027c0202020200 54
c6 0x1400200010008080 0x00047a0404040400 54
d6 0x0008010200101000 0x0008760808080800 54
e6 0x040c004080080800 0x00106e1010101000 54
f6 0x8202001020040400 0x00205e2020202000 54
g6 0x9002903108040002 0x00403e4040404000 54
h6 0x0401000841850002 0x00807e8080808000 53
a7 0x0100204006800380 0x007e010101010100 53
b7 0x0440084080290500 0x007c020202020200 54
c7 0x0060004020150100 0x007a040404040400 54
d7 0x0030210008100100 0x0076080808080800 54
e7 0x0040080004110100 0x006e101010101000 54
f7 0x8412000204008080 0x005e202020202000 54
g7 0x0008080110228400 0x003e404040404000 54
h7 0x4451802041000080 0x007e808080808000 53
a8 0x008c800044102101 0x7e01010101010100 52
b8 0x4140104100820022 0x7c02020202020200 53
c8 0x0002a00031012841 0x7a04040404040400 53
d8 0xe004100008042101 0x7608080808080800 53
e8 0x2086002008041002 0x6e10101010101000 53
f8 0x0a01001204000803 0x5e20202020202000 53
g8 0x10001830b00a0104 0x3e40404040404000 53
h8 0x02020e4020910402 0x7e80808080808000 52

[bishop]
a1 0x0c08081028882700 0x0040201008040200 58
b1 0x108288212c008210 0x0000402010080400 59
c1 0x0004080089004000 0x0000004020100a00 59
d1 0x1454106603000140 0x0000000040221400 59
e1 0x0006211015200040 0x0000000002442800 59
f1 0x20020211441000b8 0x0000000204085000 59
g1 0x0044940158404020 0x0000020408102000 59
h1 0x0c40402409284040 0x0002040810204000 58
a2 0x0000301019010420 0x0020100804020000 59
b2 0x3800040c2c440120 0x0040201008040000 59
c2 0x4400080204002900 0x00004020100a0000 59
d2 0x8201444040803100 0x0000004022140000 59
e2 0x8009011040020000 0x0000000244280000 59
f2 0xa130020844040140 0x0000020408500000 59
